MSZoning,LotArea,LandContour,LotConfig,Neighborhood,BldgType,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,Foundation,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,SalePrice
RL,11924,Lvl,Inside,NridgHt,1Fam,9,2005,2006,Hip,CompShg,WdShing,Wd Shng,286.0,5,PConc,177,1175,GasA,1,1182,1142,1,3,0,5,11,2,736,2,147,21,345000
RL,12968,Lvl,Inside,Sawyer,1Fam,5,1962,1962,Hip,CompShg,HdBoard,Plywood,0.0,3,CBlock,175,912,GasA,1,912,0,1,1,0,3,4,0,352,2,140,0,144000
RL,10652,Lvl,Inside,CollgCr,1Fam,7,2006,2007,Gable,CompShg,VinylSd,VinylSd,306.0,4,PConc,1494,1494,GasA,1,1494,0,0,2,0,4,7,1,840,2,160,33,279500
RL,10920,Lvl,Corner,NAmes,1Fam,6,1960,1960,Hip,CompShg,MetalSd,MetalSd,212.0,3,CBlock,520,1253,GasA,1,1253,0,1,1,1,3,5,1,352,2,0,213,157000
RM,6120,Lvl,Corner,BrkSide,1Fam,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,BrkTil,832,832,GasA,1,854,0,0,1,0,3,5,0,576,2,48,112,132000
RL,11241,Lvl,CulDSac,NAmes,1Fam,6,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,180.0,3,CBlock,426,1004,GasA,1,1004,0,1,1,0,3,5,1,480,2,0,0,149000
RL,10791,Lvl,Inside,Sawyer,Duplex,4,1967,1967,Gable,CompShg,MetalSd,MetalSd,0.0,3,Slab,0,0,GasA,1,1296,0,0,2,0,3,6,0,516,2,0,0,90000
RL,13695,Lvl,Inside,SawyerW,1Fam,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,468,1114,GasA,1,1114,0,1,1,1,4,6,0,576,2,0,102,159000
RL,7560,Lvl,Inside,NAmes,1Fam,5,1958,1965,Hip,CompShg,BrkFace,Plywood,0.0,3,CBlock,525,1029,GasA,1,1339,0,0,1,0,3,6,0,294,2,0,0,139000
RL,14215,Lvl,Corner,NridgHt,1Fam,8,2005,2006,Gable,CompShg,VinylSd,VinylSd,380.0,4,PConc,1158,1158,GasA,1,1158,1218,0,3,1,4,9,1,853,2,240,154,325300
RM,7449,Bnk,Inside,IDOTRR,1Fam,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,PConc,637,637,GasA,1,1108,0,0,1,0,4,6,1,280,0,0,0,139400
RL,9742,Lvl,Inside,CollgCr,1Fam,8,2002,2002,Hip,CompShg,VinylSd,VinylSd,281.0,4,PConc,1777,1777,GasA,1,1795,0,0,2,0,4,7,1,534,2,171,159,230000
RM,4224,Lvl,Inside,MeadowV,TwnhsE,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,0.0,3,PConc,200,1040,GasA,1,1060,0,1,1,0,3,6,1,572,2,100,110,129900
RL,8246,Lvl,Inside,Sawyer,1Fam,5,1968,2001,Gable,CompShg,Plywood,Plywood,0.0,3,CBlock,204,1060,GasA,1,1060,0,1,1,0,4,6,1,270,2,406,90,154000
RL,14230,Lvl,Corner,NridgHt,1Fam,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,640.0,4,PConc,1566,1566,GasA,1,1600,0,0,2,0,4,7,1,890,2,0,56,256300
RL,7200,Lvl,Corner,NAmes,1Fam,5,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,180,900,GasA,1,900,0,0,1,0,4,5,0,576,2,222,32,134800
RL,11478,Lvl,Inside,NridgHt,1Fam,8,2007,2008,Gable,CompShg,VinylSd,VinylSd,200.0,4,PConc,486,1704,GasA,1,1704,0,1,2,0,4,7,1,772,2,0,50,306000
RL,16321,Lvl,CulDSac,NAmes,1Fam,5,1957,1997,Gable,CompShg,MetalSd,MetalSd,0.0,3,CBlock,207,1484,GasA,1,1600,0,1,1,0,3,6,2,319,2,288,258,207500
RM,6324,Lvl,Inside,BrkSide,1Fam,4,1927,1950,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,520,520,GasA,0,520,0,0,1,0,2,4,0,240,2,49,0,68500
C (all),8500,Lvl,Inside,IDOTRR,1Fam,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,0.0,3,BrkTil,649,649,GasA,0,649,668,0,1,0,3,6,0,250,0,0,54,40000
RL,8544,Lvl,CulDSac,Sawyer,1Fam,5,1966,2006,Gable,CompShg,HdBoard,HdBoard,0.0,3,CBlock,1228,1228,GasA,1,1228,0,0,1,1,4,6,0,271,2,0,65,149350
RL,11049,Lvl,Corner,CollgCr,1Fam,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,1234,1234,GasA,1,1234,0,0,2,0,4,7,0,484,2,0,30,179900
RL,10552,Lvl,Inside,NAmes,1Fam,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,0.0,3,CBlock,380,1398,GasA,1,1700,0,0,1,1,4,6,1,447,2,0,38,165500
RL,7313,Lvl,Inside,NridgHt,TwnhsE,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,246.0,5,PConc,408,1561,GasA,1,1561,0,1,2,0,5,6,1,556,2,203,47,277500
RL,13418,Lvl,Inside,NridgHt,1Fam,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,132.0,4,PConc,1117,1117,GasA,1,1132,1320,0,3,1,4,9,1,691,2,113,32,309000
RL,10859,Lvl,Corner,CollgCr,1Fam,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,1097,1097,GasA,1,1097,0,0,1,1,3,6,0,672,2,392,64,145000
RL,8532,Lvl,Inside,NAmes,1Fam,5,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,650.0,3,CBlock,84,1297,GasA,1,1297,0,0,1,0,3,5,1,498,2,0,0,153000
RL,7922,Lvl,Inside,NAmes,1Fam,5,1953,2007,Gable,CompShg,VinylSd,VinylSd,0.0,3,CBlock,326,1057,GasA,1,1057,0,1,1,0,4,5,0,246,2,0,52,109000
RL,6040,Lvl,Inside,Edwards,Duplex,4,1955,1955,Gable,CompShg,AsbShng,Plywood,0.0,3,PConc,0,0,GasA,0,1152,0,0,2,0,2,6,0,0,0,0,0,82000
RL,8658,Lvl,Inside,NAmes,1Fam,6,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,101.0,3,CBlock,445,1088,GasA,1,1324,0,0,2,0,3,6,1,440,2,0,138,160000
RL,16905,Lvl,Inside,Timber,1Fam,5,1959,1959,Gable,CompShg,VinylSd,VinylSd,0.0,3,CBlock,383,1350,GasA,1,1328,0,0,1,1,3,5,2,308,1,0,104,170000
RL,9180,Lvl,CulDSac,SawyerW,1Fam,5,1983,1983,Gable,CompShg,HdBoard,HdBoard,0.0,3,CBlock,0,840,GasA,1,884,0,1,1,0,4,5,0,504,2,240,0,144000
RL,9200,Lvl,CulDSac,CollgCr,1Fam,5,1975,1980,Hip,CompShg,VinylSd,VinylSd,0.0,3,CBlock,167,938,GasA,1,938,0,1,1,0,3,5,0,308,2,145,0,130250
RL,7945,Lvl,Inside,NAmes,1Fam,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,0.0,3,CBlock,465,1150,GasA,1,1150,0,1,1,0,3,6,0,300,2,0,0,141000
RL,7658,Lvl,Inside,NridgHt,TwnhsE,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,412.0,5,PConc,1296,1752,GasA,1,1752,0,1,2,0,5,6,1,576,2,196,82,319900
RL,12822,Lvl,CulDSac,Mitchel,1Fam,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,83,1434,GasA,1,1518,631,1,1,1,4,6,1,670,2,168,43,239686
FV,11096,Lvl,Inside,Somerst,1Fam,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,1632,1656,GasA,1,1656,0,0,2,0,4,7,0,826,2,0,146,249700
RM,4456,Lvl,Inside,OldTown,2fmCon,4,1920,2008,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,736,736,GasA,1,736,716,0,2,0,3,8,0,0,0,0,0,113000
RL,7742,Lvl,Inside,Sawyer,1Fam,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,0.0,3,CBlock,192,955,GasA,1,955,0,1,1,0,3,6,0,386,2,0,0,127000
RL,13869,Lvl,Corner,Gilbert,1Fam,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,612,794,GasA,1,794,676,0,2,0,3,6,0,388,2,0,75,177000
RM,6240,Lvl,Inside,BrkSide,1Fam,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,PConc,816,816,GasA,1,816,0,0,1,0,3,6,1,528,2,112,0,114500
RM,8472,Bnk,Corner,IDOTRR,Duplex,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,2,CBlock,0,816,GasA,0,816,0,1,1,0,3,5,0,516,2,106,0,110000
RL,50271,Low,Inside,Veenker,1Fam,9,1981,1987,Gable,WdShngl,WdShing,Wd Shng,0.0,4,CBlock,32,1842,GasA,1,1842,0,2,0,1,4,5,1,894,2,857,72,385000
RL,7134,Bnk,Inside,NAmes,1Fam,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,0.0,3,CBlock,0,384,GasA,1,1360,0,0,1,0,3,6,1,572,2,0,50,130000
RL,10175,Lvl,Inside,NAmes,1Fam,6,1964,1964,Gable,CompShg,HdBoard,Plywood,272.0,3,CBlock,935,1425,GasA,1,1425,0,0,2,0,3,7,1,576,2,0,0,180500
FV,2645,Lvl,Inside,Somerst,Twnhs,8,1999,2000,Gable,CompShg,MetalSd,MetalSd,456.0,4,PConc,321,970,GasA,1,983,756,1,2,1,4,7,0,480,2,115,0,172500
RL,11645,Lvl,Corner,CollgCr,1Fam,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,860,860,GasA,1,860,860,0,2,1,4,7,0,565,2,0,70,196500
RL,13682,HLS,CulDSac,StoneBr,1Fam,10,2006,2006,Hip,CompShg,VinylSd,VinylSd,1031.0,5,PConc,1410,1410,GasA,1,1426,1519,0,3,1,4,10,1,641,2,192,0,438780
RL,7200,Bnk,Inside,CollgCr,1Fam,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,0.0,3,CBlock,148,780,GasA,1,780,0,0,1,0,3,4,0,352,2,196,0,124900
RL,13072,Lvl,Inside,SawyerW,1Fam,6,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,217,1158,GasA,1,1158,0,1,1,1,4,5,0,576,2,0,50,158000
RM,7200,Lvl,Inside,IDOTRR,1Fam,5,1920,1996,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,530,530,GasA,0,581,530,0,1,0,2,6,0,288,0,0,0,101000
RL,6442,Lvl,Inside,NridgHt,TwnhsE,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,178.0,4,PConc,1346,1370,GasA,1,1370,0,0,2,0,4,6,1,484,2,120,49,202500
RM,10300,Bnk,Inside,OldTown,1Fam,7,1921,1950,Gable,CompShg,Stucco,Stucco,0.0,3,BrkTil,576,576,GasA,1,902,808,0,2,0,3,9,0,480,2,12,11,140000
RL,9375,Lvl,Inside,CollgCr,1Fam,7,1997,1998,Gable,CompShg,VinylSd,VinylSd,573.0,3,PConc,318,1057,GasA,1,1057,977,1,2,1,4,8,0,645,2,576,36,219500
RL,9591,Lvl,Inside,NridgHt,1Fam,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,344.0,4,PConc,1143,1143,GasA,1,1143,1330,0,2,1,4,9,1,852,2,192,151,317000
RL,19900,Lvl,Inside,NAmes,1Fam,7,1970,1989,Gable,CompShg,Plywood,Plywood,287.0,3,CBlock,1035,1947,GasA,1,2207,0,1,2,0,3,7,1,576,2,301,0,180000
RL,10665,Lvl,Inside,CollgCr,1Fam,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,167.0,4,PConc,440,1453,GasA,1,1479,0,1,2,0,4,7,0,558,2,144,29,226000
RM,4608,Lvl,Corner,OldTown,1Fam,4,1945,1950,Gable,CompShg,MetalSd,MetalSd,0.0,3,CBlock,747,747,GasA,1,747,0,0,1,0,3,4,0,220,2,0,0,80000
RL,15593,Lvl,Corner,ClearCr,1Fam,7,1953,1953,Gable,CompShg,BrkFace,AsbShng,0.0,4,CBlock,701,1304,GasW,1,1304,983,0,2,0,3,7,1,667,2,0,21,225000
RL,13651,Lvl,Inside,NAmes,1Fam,7,1973,1973,Gable,CompShg,Plywood,Plywood,1115.0,3,CBlock,343,2223,GasA,1,2223,0,1,2,0,3,8,2,516,2,300,0,244000
RL,7599,Lvl,Corner,Mitchel,1Fam,4,1982,2006,Gable,CompShg,HdBoard,Plywood,0.0,3,CBlock,280,845,GasA,1,845,0,1,1,0,3,4,0,360,2,0,0,129500
RL,10141,Lvl,Corner,Gilbert,1Fam,7,1998,1998,Gable,CompShg,VinylSd,VinylSd,40.0,3,PConc,832,832,GasA,1,885,833,0,2,1,3,7,1,427,2,0,94,185000
RL,10200,Lvl,Inside,NAmes,1Fam,5,1954,2003,Gable,CompShg,Wd Sdng,Wd Sdng,104.0,3,CBlock,404,1086,GasA,1,1086,0,1,1,0,3,6,0,490,2,0,0,144900
RM,5790,Lvl,Corner,OldTown,1Fam,3,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,0.0,4,CBlock,840,840,GasA,0,840,765,0,2,0,3,8,0,379,2,0,0,107400
RM,1596,Lvl,Inside,MeadowV,Twnhs,4,1973,1973,Gable,CompShg,CemntBd,CmentBd,0.0,3,CBlock,0,462,GasA,1,526,462,1,1,0,3,5,0,297,2,120,101,91000
RL,8475,Lvl,Inside,NAmes,1Fam,4,1956,1956,Gable,CompShg,VinylSd,VinylSd,0.0,3,CBlock,724,952,GasA,1,952,0,0,1,0,3,4,0,283,2,0,0,135750
RM,8635,Lvl,Inside,BrkSide,1Fam,5,1948,2001,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,295,672,GasA,1,1072,213,1,1,0,3,6,0,240,2,0,0,127000
RL,10778,Lvl,Inside,Sawyer,Duplex,4,1968,1968,Hip,CompShg,HdBoard,HdBoard,0.0,3,CBlock,1768,1768,GasA,0,1768,0,0,2,0,3,8,0,0,2,0,0,136500
RM,10440,Lvl,Corner,OldTown,1Fam,5,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,PConc,440,440,GasA,1,682,548,0,1,1,3,5,0,440,2,74,0,110000
RL,13000,Lvl,Corner,NAmes,1Fam,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,576.0,3,CBlock,448,896,GasA,1,1182,960,0,2,1,4,8,1,509,2,0,72,193500
RM,4500,Lvl,FR2,Mitchel,TwnhsE,6,1998,1998,Hip,CompShg,VinylSd,VinylSd,443.0,3,PConc,36,1237,GasA,1,1337,0,1,2,0,3,5,0,405,2,0,199,153500
RL,10206,Lvl,Inside,Somerst,1Fam,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,468.0,3,PConc,1530,1563,GasA,1,1563,0,0,2,0,4,6,1,758,2,144,99,245000
RL,8892,Lvl,Inside,NAmes,1Fam,5,1960,1960,Gable,CompShg,MetalSd,MetalSd,66.0,3,CBlock,1065,1065,GasA,1,1065,0,0,1,1,3,6,0,461,2,74,0,126500
RL,8530,Lvl,Inside,Gilbert,1Fam,7,1995,1996,Gable,CompShg,HdBoard,HdBoard,22.0,3,PConc,384,384,GasA,1,804,670,0,2,1,3,7,1,400,2,120,72,168500
RL,16059,Lvl,Corner,NoRidge,1Fam,8,1991,1992,Hip,CompShg,HdBoard,HdBoard,284.0,4,CBlock,1288,1288,GasA,1,1301,1116,0,2,1,4,9,1,462,2,127,82,260000
RL,11911,Lvl,Inside,Gilbert,1Fam,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,684,684,GasA,1,684,876,0,2,1,4,6,1,400,2,100,38,174000
FV,3951,Lvl,Corner,Somerst,TwnhsE,6,2009,2009,Gable,CompShg,VinylSd,VinylSd,76.0,4,PConc,612,612,GasA,1,612,612,0,2,1,4,4,0,528,2,0,234,164500
C (all),8470,Lvl,Corner,IDOTRR,1Fam,3,1915,1982,Hip,CompShg,Plywood,Plywood,0.0,2,CBlock,1013,1013,GasA,0,1013,0,0,1,0,2,6,0,0,0,0,0,85000
RL,8070,Lvl,Inside,CollgCr,1Fam,4,1994,1995,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,402,990,GasA,1,990,0,1,1,0,3,5,0,0,2,0,0,123600
RL,7200,Lvl,Inside,NAmes,1Fam,4,1950,1950,Gable,CompShg,BrkFace,Wd Sdng,0.0,3,Slab,0,0,GasA,1,1040,0,0,1,0,3,4,0,420,2,0,29,109900
RL,8500,Lvl,Inside,NAmes,1Fam,5,1961,1961,Hip,CompShg,HdBoard,HdBoard,203.0,3,CBlock,635,1235,GasA,1,1235,0,0,1,0,3,6,0,480,2,0,0,98600
RL,13360,HLS,Inside,Crawfor,1Fam,5,1921,2006,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,BrkTil,163,876,GasA,1,964,0,1,1,0,3,5,0,432,2,0,0,163500
C (all),7200,Lvl,Corner,OldTown,2fmCon,6,1910,1998,Hip,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,168,1214,GasW,0,1260,1031,0,2,0,3,9,1,506,2,0,0,133900
RL,9337,Lvl,Inside,CollgCr,1Fam,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,176,824,GasA,1,905,881,1,2,1,4,7,0,684,2,0,162,204750
RL,9765,Lvl,Corner,Gilbert,1Fam,6,1993,1993,Gable,CompShg,VinylSd,VinylSd,68.0,5,PConc,370,680,GasA,1,680,790,0,2,1,3,6,1,420,2,232,63,185000
RL,10264,Lvl,Inside,CollgCr,1Fam,7,1999,1999,Gable,CompShg,VinylSd,VinylSd,183.0,4,PConc,426,1588,GasA,1,1588,0,0,2,0,4,6,0,472,2,158,29,214000
RL,10921,HLS,Inside,Edwards,1Fam,4,1965,1965,Hip,CompShg,HdBoard,HdBoard,48.0,3,CBlock,440,960,GasA,1,960,0,1,1,0,3,6,0,432,1,120,0,94750
RL,10625,Lvl,Corner,Edwards,1Fam,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,BrkTil,350,458,GasA,0,835,0,0,1,0,3,5,0,366,2,0,0,83000
RL,9320,Lvl,Inside,NAmes,1Fam,4,1959,1959,Gable,CompShg,Plywood,Plywood,0.0,3,CBlock,381,950,GasA,1,1225,0,1,1,1,3,6,0,0,2,352,0,128950
RL,10603,Lvl,Inside,NWAmes,1Fam,6,1977,2001,Gable,CompShg,Plywood,Plywood,28.0,3,PConc,410,1610,GasA,1,1610,0,1,2,0,4,6,2,480,2,168,68,205000
RL,9206,Lvl,Inside,SawyerW,1Fam,6,1985,1985,Gable,CompShg,HdBoard,HdBoard,336.0,4,CBlock,741,741,GasA,1,977,755,0,2,1,4,7,1,476,2,192,46,178000
RL,7018,Bnk,Inside,SawyerW,Duplex,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,0.0,3,Slab,0,0,GasA,1,1535,0,0,2,0,3,8,0,410,2,0,0,118964
RL,10402,Lvl,Corner,CollgCr,1Fam,7,2009,2009,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,1226,1226,GasA,1,1226,0,0,2,0,4,6,0,740,2,0,36,198900
RM,7758,Lvl,Corner,IDOTRR,1Fam,7,1931,1950,Gable,CompShg,Stucco,Stucco,600.0,3,PConc,816,1040,GasA,1,1226,592,0,1,1,3,7,2,240,2,0,0,169500
FV,9375,Lvl,Inside,Somerst,1Fam,8,2003,2004,Hip,CompShg,VinylSd,VinylSd,768.0,4,PConc,1053,1053,GasA,1,1053,939,0,2,1,4,9,1,648,2,140,45,250000
RM,10800,Lvl,Inside,OldTown,1Fam,4,1885,1995,Mansard,CompShg,VinylSd,VinylSd,0.0,3,BrkTil,641,641,GasA,1,1047,0,0,1,0,3,6,0,273,0,0,0,100000
RM,6000,Lvl,Inside,OldTown,1Fam,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,0.0,3,CBlock,516,789,GasA,1,789,0,0,1,0,3,5,0,250,2,0,0,115000
RM,8500,Lvl,Corner,IDOTRR,1Fam,5,1919,2005,Gable,CompShg,CemntBd,CmentBd,0.0,3,CBlock,793,793,GasW,0,997,520,0,2,0,2,7,0,0,0,0,0,115000
RL,11751,Lvl,Inside,NWAmes,1Fam,6,1977,1977,Hip,CompShg,Plywood,Plywood,480.0,3,CBlock,1139,1844,GasA,1,1844,0,0,2,0,3,7,1,546,2,0,122,190000
RL,9525,Lvl,Inside,Edwards,1Fam,6,1954,1972,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,550,994,GasA,1,1216,639,0,2,0,3,7,0,325,2,182,0,136900
RL,7750,Lvl,Inside,Gilbert,1Fam,7,2000,2000,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,134,384,GasA,1,774,656,0,2,1,3,7,1,400,2,180,0,180000
RL,9965,Lvl,Inside,CollgCr,1Fam,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,220.0,4,PConc,280,1264,GasA,1,1282,1414,1,2,1,5,10,1,792,2,120,184,383970
RL,21000,Bnk,Corner,Crawfor,1Fam,6,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,184.0,3,CBlock,905,1809,GasA,1,2259,0,1,2,0,4,7,2,450,2,166,120,217000
RL,7259,Lvl,Inside,Crawfor,1Fam,6,1945,2002,Gambrel,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,104,1028,GasA,1,1436,884,1,2,1,4,9,1,180,2,224,0,259500
FV,3230,Lvl,Corner,Somerst,TwnhsE,6,1999,1999,Gable,CompShg,MetalSd,MetalSd,1129.0,3,PConc,310,729,GasA,1,729,729,0,2,1,3,5,1,440,2,0,32,176000
RL,11616,Lvl,Inside,Sawyer,1Fam,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,116.0,3,CBlock,252,1092,GasA,1,1092,0,0,1,0,3,6,1,288,2,0,20,139000
RL,8536,Lvl,Corner,Edwards,1Fam,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,1125,1125,GasA,1,1125,0,0,1,1,3,5,0,430,2,80,64,155000
RL,12376,Lvl,Corner,SawyerW,1Fam,7,1990,1990,Hip,CompShg,Plywood,Plywood,0.0,3,PConc,203,1673,GasA,1,1699,1523,1,3,0,4,11,2,594,2,367,0,320000
RL,8461,Lvl,Inside,CollgCr,1Fam,6,2005,2006,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,728,728,GasA,1,728,728,0,2,1,4,8,1,390,2,0,24,163990
RL,21453,Low,CulDSac,ClearCr,1Fam,6,1969,1969,Flat,Metal,Plywood,Plywood,0.0,3,CBlock,0,938,GasA,1,988,0,1,1,0,3,4,2,540,2,0,130,180000
RM,6060,Lvl,Inside,IDOTRR,1Fam,4,1939,1950,Gable,CompShg,AsbShng,AsbShng,0.0,3,PConc,732,732,GasA,1,772,351,0,1,0,3,4,0,264,1,0,0,100000
RL,9464,Lvl,Corner,NAmes,1Fam,6,1958,1958,Hip,CompShg,MetalSd,MetalSd,135.0,3,CBlock,510,1080,GasA,1,1080,0,0,1,0,3,5,0,288,2,0,0,136000
RL,7892,Lvl,Inside,SawyerW,TwnhsE,6,1993,1993,Gable,CompShg,Plywood,Plywood,0.0,4,PConc,899,1199,GasA,1,1199,0,0,2,0,4,5,0,530,2,0,63,153900
RL,17043,Lvl,CulDSac,NWAmes,1Fam,6,1979,1998,Gable,CompShg,HdBoard,HdBoard,0.0,3,CBlock,1362,1362,GasA,1,1586,0,0,2,0,3,7,1,435,2,192,0,181000
RM,6780,Lvl,Inside,IDOTRR,2fmCon,6,1935,1982,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,30,520,GasA,0,520,0,1,1,0,3,5,0,0,0,53,0,84500
RL,4928,Lvl,Inside,NPkVill,TwnhsE,6,1976,1976,Gable,CompShg,Plywood,Plywood,0.0,3,CBlock,958,1078,GasA,1,958,0,0,2,0,3,5,1,440,2,0,205,128000
RM,4388,Bnk,Inside,OldTown,1Fam,5,1930,1950,Gable,CompShg,WdShing,Wd Sdng,0.0,3,BrkTil,556,672,GasA,1,840,0,0,1,0,3,5,1,0,0,0,0,87000
RL,7590,Lvl,Inside,NAmes,1Fam,6,1966,1966,Gable,CompShg,VinylSd,VinylSd,266.0,3,CBlock,148,660,GasA,1,660,688,0,1,1,3,6,1,453,2,188,108,155000
